member_id,link_group,platform,label,identifier,url,relationship_type,source_url,verification_status,display_order
mem_010c48c43f,research_profile,UCalgary,UCalgary Profile,,https://profiles.ucalgary.ca/pamela-roach,Official institutional profile,https://profiles.ucalgary.ca/pamela-roach,official_source,10
mem_010c48c43f,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?user=LmWRKKkAAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/pamela-roach,source_declared,20
mem_010c48c43f,research_profile,ResearchGate,ResearchGate Profile,,https://www.researchgate.net/profile/Pamela-Roach,Scholarly profile,https://profiles.ucalgary.ca/pamela-roach,source_declared,40
mem_010c48c43f,research_profile,Scopus,Scopus Author Profile,24504218500,https://www.scopus.com/authid/detail.uri?authorId=24504218500,Scholarly identifier,https://profiles.ucalgary.ca/pamela-roach,matched_scopus_id,50
mem_01f8882e68,research_profile,UCalgary,UCalgary Profile,,https://profiles.ucalgary.ca/julia-kirkham,Official institutional profile,https://profiles.ucalgary.ca/julia-kirkham,official_source,10
mem_01f8882e68,research_profile,ORCID,ORCID Profile,0000-0002-9963-7073,https://orcid.org/0000-0002-9963-7073,Scholarly identifier,https://profiles.ucalgary.ca/julia-kirkham,source_declared,30
mem_01f8882e68,research_profile,Scopus,Scopus Author Profile,56604767900,https://www.scopus.com/authid/detail.uri?authorId=56604767900,Scholarly identifier,https://profiles.ucalgary.ca/julia-kirkham,matched_scopus_id,50
mem_023bd77aa2,research_profile,UCalgary,UCalgary Profile,,https://profiles.ucalgary.ca/daniel-pang,Official institutional profile,https://profiles.ucalgary.ca/daniel-pang,official_source,10
mem_023bd77aa2,research_profile,ResearchGate,ResearchGate Profile,,https://www.researchgate.net/profile/Daniel_Pang,Scholarly profile,https://profiles.ucalgary.ca/daniel-pang,source_declared,40
mem_023bd77aa2,research_profile,Scopus,Scopus Author Profile,12242062700,https://www.scopus.com/authid/detail.uri?authorId=12242062700,Scholarly identifier,https://profiles.ucalgary.ca/daniel-pang,matched_scopus_id,50
